GEO_CODE,GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese,,
E05002636,"Ballinger, South Heath and Chartridge",116,214,35,280,11.22339386,,
E05002791,Balsham,593,631,124,556,22.06994897,,
E05005330,Bamber Bridge East,716,913,329,653,24.40577594,,
E05005331,Bamber Bridge North,138,654,257,559,21.26248126,,
E05005332,Bamber Bridge West,651,970,489,654,23.93822394,,
E05008022,Bamburgh,733,1081,388,876,13.48314607,,
E05000740,Bamford,759,1654,735,1287,13.48314607,,
E05006629,Bampton and Clanfield,585,641,179,478,10.3286385,,
E05006519,Banbury Calthorpe,330,802,409,715,14.95098609,,
E05006520,Banbury Easington,473,1509,564,1086,8,,
E05006521,Banbury Grimsbury and Castle,1610,1976,1558,1597,28.34493711,,
E05006522,Banbury Hardwick,1021,1168,464,1049,10.30927835,,
E05006523,Banbury Neithrop,1263,1446,673,798,21.52466368,,
E05006524,Banbury Ruscote,3299,2226,975,1126,18.35443038,,
E05004805,Bandley Hill,1557,1195,561,878,16.58536585,,
E05005150,Bank Hall,873,1818,1395,796,21.48614351,,
E05001553,Bank Top,439,1087,789,621,13.75,,
E05007329,Banstead Village,512,1608,449,1120,18.86554533,,
E05008602,Banwell and Winscombe,736,1618,521,1529,22.73746505,,
E05002792,Bar Hill,240,576,261,666,22.33868188,,
E05007477,Bar Pool,1726,1909,944,1065,18.42105263,,
E05005944,Barby and Kilsby,298,774,102,426,26.16013112,,
E05003945,Barcombe and Hamsey,323,231,68,241,17.85714286,,
E05006190,Barden Fell,24,178,30,190,24.57414642,,
E05005696,Bardney,243,500,131,320,28.45528455,,
E05005515,Bardon,139,431,101,356,12.88888889,,
E05007944,Bardon,141,365,64,272,14.11746229,,
E05007164,Bardwell,292,399,68,360,13.07692308,,
E05005222,Bare,52,957,483,661,20.2764977,,
E05002455,Bargate,3787,1931,3469,2719,13.58695652,,
E05004902,Barham Downs,207,450,90,342,11.71548117,,
E05002373,Barkham,123,267,41,315,9.917355372,,
E05007135,Barking and Somersham,196,449,69,290,16.66666667,,
E05000496,Barkingside,436,1733,994,1560,20.24922118,,
E05007013,Barlaston and Oulton,644,808,210,604,15.407597,,
E05003303,Barlborough,235,553,156,386,17.01267776,,
E05006343,Barlby,368,736,298,534,27.66798419,,
E05005480,"Barlestone, Nailstone and Osbaston",368,653,144,410,10.34608191,,
E05004208,Barling and Sutton,82,326,57,231,16.92307692,,
E05003418,Barlow and Holmesfield,279,297,93,270,20.33547219,,
E05004983,Barming,76,435,127,351,20.75471698,,
E05003389,Barms,193,440,283,288,18.75,,
E05002169,Barnack,251,356,112,355,13.68078176,,
E05007959,Barnard Castle East,1174,1801,715,1270,17.0984456,,
E05007960,Barnard Castle West,538,1579,512,1197,9.756097561,,
E05004566,Barncroft,2162,1743,714,825,16.21621622,,
E05000064,Barnehurst,1055,1953,864,1427,19.67213115,,
E05000516,Barnes,1612,744,1175,1178,14.77272727,,
E05001153,Barnes,1080,2300,1372,1527,20.00231523,,
E05002193,Barnfield,122,880,245,828,19.04894963,,
E05005207,Barnfield,577,960,762,607,19.87556525,,
E05007580,Barnham,649,1479,379,1195,19.30709426,,
E05000086,Barnhill,3593,2264,1816,1952,20.25316456,,
E05000324,Barnhill,2266,2282,1109,1577,25.72808493,,
E05007165,Barningham,385,481,95,413,21.71717172,,
E05000366,Barnsbury,4545,1688,3464,1859,19.27710843,,
E05004262,Barnston and High Easter,151,243,28,205,13.8996139,,
E05005965,Barnwell,147,236,58,223,30.14463787,,
E05004364,Barnwood,1514,1696,663,1284,28.56567418,,
E05007166,Barrow,281,417,102,316,18.96551724,,
E05005427,Barrow and Sileby West,481,1023,346,819,24.53529093,,
E05003323,Barrow Hill and New Whittington,1263,1439,695,800,11.5613826,,
E05003145,Barrow Island,304,627,755,440,9.050978363,,
E05005664,Barrowby,178,352,90,287,18.86314875,,
E05005250,Barrowford,248,849,346,645,12.21371833,,
E05001180,Bartley Green,8496,6456,4093,3453,14.28571429,,
E05000759,Barton,3557,2978,2401,1845,14.67889908,,
E05001732,Barton,1447,2324,1133,1583,24.26772037,,
E05002793,Barton,397,280,148,338,25.92592593,,
E05004581,Barton,101,1313,335,1045,15.90106007,,
E05004903,Barton,2156,1370,1214,1273,26.1603988,,
E05005989,Barton,170,828,194,655,27.73445339,,
E05006274,Barton,86,192,42,184,21.06741573,,
E05006545,Barton and Sandhills,2508,1268,895,919,14.28571429,,
E05004365,Barton and Tredworth,1097,2140,1703,1494,14.28571429,,
E05008781,Barton-le-Clay,255,695,206,627,10.75268817,,
E05005481,Barwell,1278,2056,644,1302,21.15324564,,
E05001824,Basford,4200,3822,2622,2259,23.50922772,,
E05004582,Bashley,30,545,89,395,27.90708903,,
E05002290,Basildon,186,258,54,322,16.66666667,,
E05004430,Basing,491,983,290,969,22.29508197,,
E05002735,Bassenhally,14,374,81,241,23.38568935,,
E05002456,Bassett,1457,1789,1189,1794,15.28384279,,
E05002794,Bassingbourn,638,743,157,578,6.976744186,,
E05005619,Bassingham and Brant Broughton,300,639,142,620,15.4081155,,
E05000015,"Bassishaw, Coleman Street, Cripplegate",531,191,1136,647,18.2307014,,
E05001621,Bastwell,1248,1932,682,705,17.9389313,,
E05007014,Baswich,18,650,227,592,9.743589744,,
E05007870,Batchley & Brockhill,2897,1853,970,1067,14.83330157,,
E05004786,Batchwood,2040,1028,561,798,21.60904063,,
E05001936,Bathavon North,525,860,429,995,11.55279709,,
E05001937,Bathavon South,144,273,92,323,20.58823529,,
E05001938,Bathavon West,172,318,81,271,13.08411215,,
E05001939,Bathwick,39,260,250,368,6.923076923,,
E05001390,Batley East,2922,4760,2099,2323,6.923076923,,
E05001391,Batley West,2771,4833,2034,2492,13.73239437,,
E05007881,Battenhall,337,765,385,674,8.43373494,,
E05004567,Battins,3005,2046,1107,973,22.81447344,,
E05002320,Battle,996,1397,1623,1480,23.9008407,,
E05001115,Battle Hill,2160,2203,1441,1573,16.49300008,,
E05003966,Battle Town,633,882,445,814,23.99710205,,
