GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese
Ashbourne South,0.059773032,0.102236066,0.04896821,0.09089572,0.580479147
Ashbrow,0.324451963,0.478918678,0.330284439,0.403588763,0.533169231
Ashburton,0.223584972,0.249972188,0.160290017,0.278276217,0.512940095
Ashburton and Buckfastleigh,0.08430253,0.155523418,0.057334077,0.163112222,0.564316072
Ashby,0.150066963,0.298030927,0.147016174,0.233563759,0.421951889
Ashby Castle,0.004934095,0.033040383,0.012827663,0.047065745,0.536861151
Ashby de la Launde and Cranwell,0.031860154,0.076426744,0.017177914,0.087218709,0.736770159
Ashby Holywell,0.051596532,0.092223829,0.043837144,0.092366524,0.415941012
Ashby Ivanhoe,0.064495665,0.114361998,0.039375349,0.092072364,0.655289289
Ashchurch with Walton Cardiff,0.02474096,0.039158972,0.008142777,0.064127078,0.360648867
Ashdon,0.012687672,0.022694404,0.00501952,0.027356964,0.415592112
Ashdown,0.039331783,0.123595506,0.039152259,0.118841006,0.412445709
Asheridge Vale and Lowndes,0.075491647,0.079207921,0.036809816,0.080305927,0.338131167
Ashford Common,0.041093959,0.158304595,0.047518126,0.170025004,0.412445709
Ashford East,0.037287658,0.141506285,0.050529838,0.154140315,0.338131167
Ashford North and Stanwell South,0.106576443,0.161197019,0.051199108,0.170760406,0.564399392
Ashford Town,0.011912314,0.122705529,0.036475181,0.131195764,0.576001767
Ashingdon and Canewdon,0.021991964,0.098898654,0.014500837,0.090160318,0.43535936
Ashington Central,0.069852682,0.146734898,0.10797546,0.109280777,0.406001245
Ashley,0.299288081,0.175547892,0.331511433,0.345197823,0.437442419
Ashley,0.041728343,0.073979308,0.046514222,0.124577144,0.50210782
"Ashley Green, Latimer and Chenies",0.011700853,0.029925464,0.005800335,0.034416826,0.579601065
Ashover,0.011207443,0.037935254,0.008923592,0.036770113,0.491647241
Ashridge,0.018961021,0.031260429,0.008142777,0.044271216,0.638861151
Ashridge,0.079579897,0.090777617,0.03803681,0.078099721,0.492122722
Ashtead Common,0.016423486,0.050506174,0.019520357,0.070892778,0.446164398
Ashtead Park,0.018538098,0.044721326,0.016062465,0.073687307,0.692113342
Ashtead Village,0.030943822,0.078985427,0.030451757,0.104280041,0.260776477
Ashton,0.052019454,0.234731338,0.087339654,0.235034564,0.491304214
Ashton,0.005709452,0.0952275,0.067707752,0.116634799,0.230969597
Ashton,0.013251568,0.074201802,0.046514222,0.079570525,0.295668912
Ashton Hurst,0.194685275,0.294916008,0.155939766,0.234299162,0.398223444
Ashton St Michael's,0.13018961,0.289798643,0.193976576,0.241800265,0.26199571
Ashton upon Mersey,0.034256714,0.134052731,0.086893475,0.170760406,0.306054134
Ashton Waterloo,0.153661803,0.294137279,0.164194088,0.218120312,0.26069357
Ashurst,0.065834919,0.126932918,0.059788065,0.120458891,0.643699486
Ashurst Wood,0.009092831,0.036377795,0.009927496,0.050595676,0.448484655
"Ashurst, Copythorne South and Netley Marsh",0.012476211,0.123261764,0.017066369,0.113251949,0.462072985
"Ashwick, Chilcompton and Stratton",0.029957003,0.089108911,0.015616286,0.083247536,0.611557865
Askern Spa,0.113061253,0.384136166,0.141104294,0.254302103,0.594331924
Askew,0.325579756,0.17866281,0.386726157,0.309016032,0.336827195
Askham,0.01825615,0.024808099,0.006023424,0.030592734,0.630251468
Aspatria,0.050257278,0.095561242,0.032459565,0.072804824,0.604154869
Aspley,0.618101078,0.507397931,0.365309537,0.337255479,0.317964754
Aspley and Woburn,0.031437231,0.071976861,0.024762967,0.088689513,0.360889996
Aspull New Springs Whelley,0.122083598,0.307931917,0.110429448,0.256214149,0.340063357
Astley,0.015577642,0.052397375,0.009481316,0.047654067,0.538022042
Astley and Buckshaw,0.063156411,0.070419401,0.040044618,0.091925283,0.393698177
Astley Bridge,0.103545499,0.25219713,0.140435025,0.286218562,0.728525599
Astley Mosley Common,0.079720871,0.21448437,0.066926938,0.220473599,0.786908046
Aston,0.771621907,0.852597619,0.571332962,0.508604207,0.418491996
Aston,0.016705435,0.097674936,0.023312883,0.119723489,0.506536909
Aston Cantlow,0.008740396,0.032039159,0.006915784,0.036034711,0.440109751
Aston Clinton,0.042785649,0.145288686,0.032905745,0.173260774,0.407456447
Aston Rowant,0.013956439,0.031037935,0.005131065,0.04221209,0.558596264
Astwell,0.010714034,0.028812994,0.003904071,0.032946021,0.541188641
Astwood Bank and Feckenham,0.038556425,0.101457337,0.034244283,0.117370202,0.496025016
Atherleigh,0.141749489,0.278451441,0.149135527,0.235181644,0.827870601
Atherstone Central,0.079650384,0.113805763,0.060568879,0.08765995,0.401519995
Atherstone North,0.03940227,0.101902325,0.03234802,0.07471687,0.480840462
Atherstone South and Mancetter,0.05716501,0.118589387,0.040044618,0.072363583,0.232297009
Atherton,0.297102982,0.43008121,0.2382599,0.298867481,0.549927613
Attenborough,0.000704871,0.045055067,0.015839375,0.04868363,0.616948288
Attleborough,0.08768591,0.177661586,0.083547128,0.156052361,0.505705727
Audenshaw,0.100303094,0.278340194,0.128945901,0.228563024,0.505705727
Audlem,0.016282512,0.091111358,0.015393196,0.092807766,0.505705727
Audley,0.183407345,0.293358549,0.160624651,0.155022797,0.651027852
Audley and Bignall End,0.064072743,0.146623651,0.05354155,0.114575673,0.196505547
Aughton and Downholland,0.02114612,0.097118701,0.02688232,0.106045007,0.62910007
Aughton Park,0.006061888,0.061853376,0.013831567,0.071039859,0.420099394
Auriol,0.003735814,0.058515964,0.013720022,0.07471687,0.367045348
Austenwood,0.002608021,0.015797085,0.002900167,0.030886895,0.661480908
Aveland,0.021075633,0.050839915,0.006469604,0.04206501,0.407552535
Aveley and Uplands,0.1318813,0.255757036,0.081204685,0.198558612,0.597773737
Avening,0.017128357,0.028256758,0.0054657,0.035299309,0.681078026
Avenue,0.055755269,0.216486817,0.271165644,0.295190469,0.4640837
Avon and Harbourne,0.010291112,0.024585605,0.006023424,0.044565377,0.407157944
Avon and Swift,0.017974202,0.057180999,0.014947016,0.053978526,0.327841461
Avondale Grange,0.144146049,0.149182334,0.089459007,0.115163995,0.19364829
Avonmore and Brook Green,0.178684711,0.111024586,0.386503067,0.310192675,0.547557235
Avonmouth,0.243039402,0.328846368,0.154489682,0.272098838,0.745851789
Awre,0.010150137,0.03693403,0.007585053,0.033387263,0.428090202
Awsworth,0.008528935,0.053064857,0.014612381,0.050007354,0.594012542
Axevale,0.020300275,0.05562354,0.013831567,0.07780556,0.510430049
Axholme Central,0.038274477,0.144732451,0.038706079,0.137961465,0.684000874
Axholme North,0.063226898,0.196017355,0.054656999,0.168407119,0.670242177
Axholme South,0.036794248,0.148292357,0.029113218,0.142226798,0.745871288
Axminster Rural,0.040812011,0.055734787,0.016508645,0.056184733,0.414816087
Axminster Town,0.034679636,0.114473245,0.050306748,0.111486983,0.477768596
Aycliffe East,0.107563262,0.166425631,0.091689905,0.130754523,0.504257254
Aycliffe North,0.078522591,0.166425631,0.073284997,0.146786292,0.343155453
Aycliffe West,0.172763798,0.210256981,0.132961517,0.158552728,0.669117932
Aylesbury Central,0.03531402,0.060295917,0.065253765,0.092660685,0.621133379
Aylesford,0.071614859,0.104461008,0.034021194,0.101338432,0.508683042
Aylesford Green,0.078522591,0.078540438,0.048856665,0.056478894,0.312458871
Aylesham,0.093606823,0.135721437,0.049972114,0.097661421,0.312458871
Aylestone,0.092267569,0.287907442,0.153485778,0.241506104,0.517038149
Aylestone,0.095721435,0.15162977,0.077969883,0.142226798,0.554398124
Aylsham,0.059491083,0.171654244,0.056553263,0.168407119,0.590281603
Ayresome,0.135546627,0.187228835,0.11321807,0.12325342,0.514910477
Bablake,0.065271023,0.344087218,0.14578918,0.312398882,0.548610525
Backbury,0.019595404,0.059183446,0.013720022,0.057508457,0.485683733
Backwell,0.018185663,0.075203026,0.019743447,0.109280777,0.52671246
Bacton and Old Newton,0.012123775,0.056402269,0.010039041,0.050448595,0.519681594
Badby,0.009163319,0.028145511,0.005354155,0.037505516,0.669948187
"Baddeley, Milton and Norton",0.200324241,0.538435866,0.192191857,0.361376673,0.552235745
Baddesley and Grendon,0.034609149,0.116364445,0.024428332,0.079276364,0.362508336
Badgeworth,0.009797702,0.047836244,0.008142777,0.046771584,0.700813437
Badsey,0.027489956,0.06630326,0.014054657,0.053096044,0.521467659
Badwell Ash,0.01656446,0.055846034,0.006023424,0.049566113,0.467632107
Baffins,0.101007965,0.292802314,0.152593419,0.293131343,0.308825012
Bagley,0.020229788,0.072866837,0.027886224,0.084718341,0.518644305
Bagnall and Stanley,0.00408825,0.034152853,0.007027328,0.034269746,0.579996743
Bagots,0.010291112,0.041606408,0.008031233,0.053978526,0.553198815
Bagshot,0.03890886,0.080654133,0.031121026,0.106192087,0.282882733
Baguley,0.418763657,0.405161865,0.299609593,0.314752169,0.491424675
Baildon,0.068583915,0.261208143,0.126491913,0.309310193,0.596512389
Baird,0.10425037,0.145399933,0.068377022,0.095602294,0.411116727
Bakewell,0.045957567,0.104238514,0.045956497,0.101779673,0.706847722
Balby,0.227461761,0.379352542,0.212269939,0.305486101,0.392997809
Balderstone and Kirkholt,0.279974625,0.277672711,0.208254322,0.197676129,0.535576449
Balderton North,0.023613167,0.120480587,0.044952593,0.108692455,0.478339403
Balderton West,0.036653274,0.111135833,0.04350251,0.103397558,0.426506358
Baldock East,0.005991401,0.028034264,0.011935304,0.047506986,0.345199126
Baldock Town,0.116444632,0.143397486,0.072169548,0.143697603,0.770222202
Baldwin,0.008387961,0.050951163,0.006581149,0.040005883,0.411988813
Balham,0.093888771,0.098231171,0.295928611,0.23709369,0.501324143
"Ballinger, South Heath and Chartridge",0.0081765,0.023806875,0.003904071,0.041182527,0.324032845
Balsham,0.04179883,0.070196907,0.013831567,0.081776732,0.637185903
Bamber Bridge East,0.050468739,0.101568584,0.036698271,0.096043536,0.70462403
Bamber Bridge North,0.009727215,0.07275559,0.028667038,0.082217973,0.613873342
Bamber Bridge West,0.04588708,0.107909667,0.054545455,0.096190616,0.691125243
Bamburgh,0.051667019,0.120258093,0.04327942,0.128842477,0.389274602
Bamford,0.053499683,0.18400267,0.081985499,0.189292543,0.389274602
Bampton and Clanfield,0.041234933,0.071309378,0.019966537,0.070304457,0.298200184
Banbury Calthorpe,0.023260732,0.089220158,0.045621863,0.105162524,0.431652904
Banbury Easington,0.033340382,0.167871843,0.062911322,0.159729372,0.230969597
Banbury Grimsbury and Castle,0.113484176,0.21982423,0.173786949,0.234887483,0.818352339
Banbury Hardwick,0.071967294,0.129936589,0.051756832,0.154287395,0.297641234
Banbury Neithrop,0.089025164,0.160863277,0.075069716,0.117370202,0.621442863
Banbury Ruscote,0.232536829,0.247636,0.108756274,0.16561259,0.529914424
Bandley Hill,0.109748361,0.13294026,0.062576687,0.129136638,0.478839409
Bank Hall,0.061535208,0.202247191,0.155605131,0.117076041,0.620330739
Bank Top,0.030943822,0.120925576,0.088008924,0.091336961,0.396978995
Banstead Village,0.036089378,0.178885304,0.050083659,0.164730107,0.544670926
Banwell and Winscombe,0.05187848,0.179997775,0.058114891,0.224886013,0.656457893
Bar Hill,0.016916896,0.064078318,0.029113218,0.097955582,0.644944545
Bar Pool,0.121660675,0.212370675,0.105298383,0.156640682,0.531837888
