Zone Code,Zone Name,people,households,rent,%rent,nocar,%nocar
20UDGC,Blackhill,5067,27,2137,42.17485692,35,0.69074403
00BNFF,Blackley,10196,38,4632,45.42958023,198,1.941938015
40UDJQ,Blackmoor Vale,5022,129,2135,42.51294305,95,1.891676623
19UEGF,Blackmore,3418,75,1428,41.77881802,68,1.989467525
30UJFX,Blacko and Higherford,1655,20,712,43.02114804,23,1.389728097
00BLFB,Blackrod,13098,126,5372,41.01389525,128,0.977248435
00BGFY,Blackwall and Cubitt Town,11939,36,5310,44.47608677,135,1.130747969
24UNGF,Blackwater,5086,114,1893,37.21981911,85,1.671254424
24UGFS,Blackwater and Hawley,4761,64,1729,36.31590002,44,0.924175593
17UCGC,Blackwell,4163,34,1781,42.78164785,55,1.321162623
13UBGF,Blacon Hall,7977,39,3120,39.11244829,106,1.328820359
13UBGG,Blacon Lodge,5518,28,2454,44.47263501,92,1.66727075
00HCNR,Blagdon and Churchill,3890,96,1520,39.07455013,81,2.082262211
