,Time (mins),Distance (m),Size (Moment Magnitude),Time (mins)_standard,Distance (m)_standard,Size (Moment Magnitude)_standard
226,32806,39665,2.5,0.35962038339192787,0.37261457148488314,0.9855771371673776
227,32926,22552,1.7,0.3810192893124082,-0.8130736801412625,-1.387877738611983
228,32935,50281,2.5,0.3826242072564442,1.108152845268741,0.9855771371673776
229,32937,52727,1.8,0.3829808556884522,1.277625962984954,-1.0911958791395626
230,32942,51179,1.9,0.38387247676847225,1.1703715123616107,-0.794514019667143
231,32943,39590,2.2,0.38405080098447625,0.36741813492367464,0.09553155875011796
232,32954,52073,2.5,0.38601236736052025,1.232313036171216,0.9855771371673776
233,32957,38752,2.0,0.38654734000853225,0.30935661707977175,-0.49783216019472265
234,32961,53403,2.2,0.3872606368725483,1.3244631778566467,0.09553155875011796
235,32965,39273,2.2,0.3879739337365643,0.34545452972496676,0.09553155875011796
236,32968,36540,1.8,0.3885089063845763,0.1560963814345293,-1.0911958791395626
237,32972,36302,1.9,0.3892222032485923,0.13960635608029437,-0.794514019667143
238,32974,47461,2.3,0.3895788516806003,0.9127668305673018,0.39221341822253697
239,33014,29448,2.0,0.3967118203207604,-0.3352786597933457,-0.49783216019472265
240,33031,41510,2.6,0.39974333199282847,0.500446910890612,1.282258996639798
241,33032,23531,2.1,0.39992165620883247,-0.7452428615622876,-0.20115030072230236
242,33049,25433,1.8,0.4029531678809005,-0.6134612303700403,-1.0911958791395626
243,33058,25439,1.8,0.4045580858249365,-0.6130455154451436,-1.0911958791395626
244,33081,22546,2.3,0.4086595427930286,-0.8134893950661591,0.39221341822253697
245,33082,24583,2.0,0.4088378670090326,-0.6723541780637365,-0.49783216019472265
246,33086,22597,2.3,0.4095511638730486,-0.8099558182045374,0.39221341822253697
247,33088,51049,1.7,0.4099078123050566,1.161364355655516,-1.387877738611983
248,33118,27280,2.3,0.4152575387851767,-0.48549031932267916,0.39221341822253697
249,33129,38418,2.1,0.4172191051612207,0.28621515292718996,-0.20115030072230236
250,33133,68161,2.7,0.4179324020252367,2.3469833214608458,1.5789408561122182
251,33138,38763,1.7,0.41882402310525674,0.31011876110874903,-1.387877738611983
252,33138,48900,2.4,0.41882402310525674,1.0124691267216888,0.6888952776949573
253,33142,62802,2.8,0.41953731996927274,1.9756806077072948,1.8756227155846372
254,33151,58067,2.7,0.42114223791330874,1.6476122461429987,1.5789408561122182
255,33197,21126,2.1,0.42934515184949285,-0.91187526062504,-0.20115030072230236
256,33197,25261,2.4,0.42934515184949285,-0.6253783915504117,0.6888952776949573
257,33201,24479,1.8,0.4300584487135089,-0.6795599034286123,-1.0911958791395626
258,33210,22238,2.6,0.4316633666575449,-0.834829427877522,1.282258996639798
259,33227,51107,2.5,0.43469487832961295,1.1653829332628507,0.9855771371673776
260,33242,39464,2.5,0.43736974156967295,0.3586881215008444,0.9855771371673776
261,33262,24820,2.2,0.440936225889753,-0.6559334385303177,0.09553155875011796
262,33263,19965,1.9,0.441114550105757,-0.9923160985925474,-0.794514019667143
263,33266,25290,2.5,0.44164952275376906,-0.6233691027467445,0.9855771371673776
264,33268,25550,1.8,0.44200617118577706,-0.605354789334555,-1.0911958791395626
265,33282,24338,2.4,0.44450271020983306,-0.6893292041636843,0.6888952776949573
266,33291,50377,1.8,0.4461076281538691,1.114804284067088,-1.0911958791395626
267,33313,24717,2.5,0.4500307609059572,-0.6630698780743773,0.9855771371673776
268,33326,25104,2.2,0.45234897571400917,-0.6362562654185415,0.09553155875011796
269,33348,20570,2.5,0.4562721084660972,-0.9503981769987989,0.9855771371673776
270,33356,23577,2.0,0.4576987021941293,-0.7420557138047464,-0.49783216019472265
271,33362,21060,1.9,0.4587686474901533,-0.9164481247989034,-0.794514019667143
272,33370,39253,1.7,0.4601952412181853,0.34406881330864447,-1.387877738611983
273,33384,48825,2.6,0.46269178024224134,1.0072726901604803,1.282258996639798
274,33411,11927,1.6,0.4675065340743494,-1.5492355263124655,-1.6845595980844026
275,33416,22519,2.2,0.4683981551543694,-0.8153601122281943,0.09553155875011796
276,33419,24755,2.4,0.46893312780238144,-0.6604370168833651,0.6888952776949573
277,33432,54837,2.6,0.47125134261043344,1.423819044906953,1.282258996639798
278,33439,49185,1.8,0.47249961212246144,1.032215585654281,-1.0911958791395626
279,33444,23160,2.1,0.4733912332024815,-0.7709479010850656,-0.20115030072230236
280,33464,51905,2.5,0.47695771752256155,1.220673018274109,0.9855771371673776
281,33491,22932,2.0,0.4817724713546696,-0.7867450682311394,-0.49783216019472265
282,33517,40364,2.6,0.48640890097077366,0.4210453602353463,1.282258996639798
283,33520,25175,1.6,0.48694387361878566,-0.6313369721405975,-1.6845595980844026
284,33537,38177,2.2,0.4899753852908537,0.26951727011050663,0.09553155875011796
285,33542,47636,2.1,0.4908670063708737,0.9248918492101217,-0.20115030072230236
286,33566,22585,1.9,0.49514678755496977,-0.8107872480543308,-0.794514019667143
287,33568,50017,1.9,0.49550343598697777,1.0898613885732873,-0.794514019667143
288,33578,37955,1.8,0.4972866781470178,0.25413581788932954,-1.0911958791395626
289,33581,50059,2.7,0.4978216507950298,1.092771393047564,1.5789408561122182
290,33593,25541,2.4,0.4999615413870779,-0.6059783617219,0.6888952776949573
291,33634,51506,2.7,0.507272834243242,1.1930279757684799,1.5789408561122182
292,33639,53106,2.7,0.5081644553232619,1.303885289074261,1.5789408561122182
293,33642,53475,2.4,0.508699427971274,1.3294517569554067,0.6888952776949573
294,33653,38548,2.3,0.510660994347318,0.29522230963328466,0.39221341822253697
295,33661,26258,2.3,0.51208758807535,-0.5563004281967469,0.39221341822253697
296,33665,23875,1.9,0.512800884939366,-0.7214085392015447,-0.794514019667143
297,33688,26144,1.8,0.5169023419074581,-0.5641990117697838,-1.0911958791395626
298,33694,40032,2.1,0.5179722872034821,0.39804246772439666,-0.20115030072230236
299,33704,54826,2.3,0.5197555293635221,1.4230569008779757,0.39221341822253697
300,33715,35203,2.3,0.5217170957395662,0.06346123900338593,0.39221341822253697
301,33719,23794,2.4,0.5224303926035821,-0.7270206906876499,0.6888952776949573
302,33726,26631,2.2,0.5236786621156102,-0.5304568170323366,0.09553155875011796
303,33739,37610,2.7,0.5259968769236623,0.23023220970777045,1.5789408561122182
304,33745,21623,2.2,0.5270668222196863,-0.8774402076794316,0.09553155875011796
305,33754,52555,2.6,0.5286717401637222,1.2657088018045826,1.282258996639798
306,33771,26590,1.8,0.5317032518357903,-0.5332975356857973,-1.0911958791395626
307,33773,25580,2.4,0.5320599002677983,-0.6032762147100716,0.6888952776949573
308,33784,25366,2.2,0.5340214666438423,-0.6181033803647199,0.09553155875011796
309,33794,51765,2.1,0.5358047088038823,1.2109730033598531,-0.20115030072230236
310,33807,25230,2.4,0.5381229236119344,-0.6275262519957112,0.6888952776949573
311,33837,72517,2.1,0.5434726500920545,2.648792356935835,-0.20115030072230236
312,33838,48913,2.0,0.5436509743080584,1.0133698423922983,-0.49783216019472265
313,33840,22055,2.4,0.5440076227400664,-0.8475087330868708,0.6888952776949573
314,33841,26663,2.1,0.5441859469560705,-0.528239670766221,-0.20115030072230236
315,33847,35579,1.8,0.5452558922520945,0.0895127076302445,-1.0911958791395626
316,33862,19850,1.9,0.5479307554921545,-1.0002839679864004,-0.794514019667143
317,34000,50592,2.6,0.5725394973007069,1.1297007355425523,1.282258996639798
318,34022,1244,1.6,0.576462630052795,-2.289415950091003,-1.6845595980844026
319,34024,72078,2.8,0.576819278484803,2.618375881597561,1.8756227155846372
320,34027,25328,1.9,0.5773542511328149,-0.6207362415557321,-0.794514019667143
321,34034,20257,2.3,0.578602520644843,-0.9720846389142423,0.39221341822253697
322,34037,20882,1.7,0.5791374932928549,-0.9287810009041716,-1.387877738611983
323,34043,21441,2.2,0.580207438588879,-0.8900502270679643,0.09553155875011796
324,34052,5620,1.8,0.581812356532915,-1.9862211981996916,-1.0911958791395626
325,34054,47967,1.8,0.582169004964923,0.9478254559002551,-1.0911958791395626
326,34103,51509,2.6,0.5909068915491191,1.193235833230928,1.282258996639798
327,34124,23658,1.6,0.5946517000852032,-0.7364435623186413,-1.6845595980844026
328,34129,52495,2.5,0.5955433211652232,1.2615516525556159,0.9855771371673776
329,34137,52630,2.6,0.5969699148932552,1.270905238365791,1.282258996639798
330,34144,11404,2.3,0.5982181844052832,-1.5854720105992928,0.39221341822253697
331,34190,25536,2.3,0.6064210983414673,-0.6063247908259807,0.39221341822253697
332,34208,39031,1.9,0.6096309342295394,0.3286873610874674,-0.794514019667143
333,34238,36011,1.8,0.6149806607096595,0.11944418222280541,-1.0911958791395626
334,34240,21862,2.0,0.6153373091416675,-0.8608808965043806,-0.49783216019472265
335,34241,37756,1.9,0.6155156333576715,0.240347939546923,-0.794514019667143
336,34257,22759,2.4,0.6183688208137356,-0.798731515232327,0.6888952776949573
337,34258,22472,2.2,0.6185471450297395,-0.8186165458065515,0.09553155875011796
338,34273,22264,1.8,0.6212220082697996,-0.8330279965363031,-1.0911958791395626
339,34277,25872,1.7,0.6219353051338156,-0.5830447550317666,-1.387877738611983
340,34278,23692,1.8,0.6221136293498196,-0.7340878444108934,-1.0911958791395626
341,34292,24436,1.7,0.6246101683738756,-0.6825391937237052,-1.387877738611983
342,34294,39358,2.2,0.6249668168058836,0.3513438244943364,0.09553155875011796
343,34301,40232,2.6,0.6262150863179117,0.41189963188761936,1.282258996639798
344,34323,59311,2.2,0.6301382190699997,1.7338038072382436,0.09553155875011796
345,34331,49974,1.9,0.6315648127980317,1.0868820982781944,-0.794514019667143
346,34333,11693,2.3,0.6319214612300397,-1.565448408383436,0.39221341822253697
347,34334,39101,2.3,0.6320997854460437,0.33353736854459526,0.39221341822253697
348,34336,24976,1.6,0.6324564338780517,-0.645124850483004,-1.6845595980844026
349,34342,20680,1.7,0.6335263791740757,-0.9427767367090264,-1.387877738611983
350,34353,38683,2.5,0.6354879455501198,0.30457589544346,0.9855771371673776
351,34369,25192,2.2,0.6383411330061838,-0.6301591131867236,0.09553155875011796
352,34390,22885,1.8,0.6420859415422678,-0.7900015018094968,-1.0911958791395626
353,34391,45571,2.4,0.6422642657582719,0.7818166292248478,0.6888952776949573
354,34400,50525,2.6,0.6438691837023078,1.1250585855478727,1.282258996639798
355,34402,23124,1.9,0.6442258321343158,-0.7734421906344457,-0.794514019667143
356,34403,39653,2.1,0.6444041563503199,0.3717831416350898,-0.20115030072230236
357,34405,23719,1.8,0.6447608047823279,-0.7322171272488583,-1.0911958791395626
358,34408,20186,2.0,0.6452957774303398,-0.9770039321921864,-0.49783216019472265
359,34411,24505,1.6,0.6458307500783519,-0.6777584720873934,-1.6845595980844026
360,34413,35186,2.5,0.6461873985103599,0.062283380049512005,0.9855771371673776
361,34415,26450,2.4,0.6465440469423679,-0.5429975506000532,0.6888952776949573
362,34424,48372,2.8,0.6481489648864039,0.975886213330781,1.8756227155846372
363,34425,20894,2.3,0.6483272891024079,-0.9279495710543783,0.39221341822253697
364,34428,24213,1.8,0.6488622617504199,-0.6979899317656985,-1.0911958791395626
365,34429,55138,2.2,0.6490405859664239,1.444674076972603,0.09553155875011796
366,34440,25083,2.0,0.6510021523424679,-0.6377112676556799,-0.49783216019472265
